week_ending_date,location,location_name,target,target_data_type,value
2020-09-26,26,Michigan,wk inc rsv hosp,hosp,NA
2020-09-26,27,Minnesota,wk inc rsv hosp,hosp,NA
2020-09-26,29,Missouri,wk inc rsv hosp,hosp,NA
2020-09-26,28,Mississippi,wk inc rsv hosp,hosp,NA
2020-09-26,30,Montana,wk inc rsv hosp,hosp,NA
2020-09-26,37,North Carolina,wk inc rsv hosp,hosp,NA
2020-09-26,38,North Dakota,wk inc rsv hosp,hosp,NA
2020-09-26,31,Nebraska,wk inc rsv hosp,hosp,NA
2020-09-26,33,New Hampshire,wk inc rsv hosp,hosp,NA
2020-09-26,34,New Jersey,wk inc rsv hosp,hosp,NA
2020-09-26,35,New Mexico,wk inc rsv hosp,hosp,NA
2020-09-26,32,Nevada,wk inc rsv hosp,hosp,NA
2020-09-26,36,New York,wk inc rsv hosp,hosp,NA
2020-09-26,39,Ohio,wk inc rsv hosp,hosp,NA
2020-09-26,40,Oklahoma,wk inc rsv hosp,hosp,NA
2020-09-26,41,Oregon,wk inc rsv hosp,hosp,NA
2020-09-26,42,Pennsylvania,wk inc rsv hosp,hosp,NA
2020-09-26,72,Puerto Rico,wk inc rsv hosp,hosp,NA
2020-09-26,44,Rhode Island,wk inc rsv hosp,hosp,NA
2020-09-26,45,South Carolina,wk inc rsv hosp,hosp,NA
2020-09-26,46,South Dakota,wk inc rsv hosp,hosp,NA
2020-09-26,47,Tennessee,wk inc rsv hosp,hosp,NA
2020-09-26,48,Texas,wk inc rsv hosp,hosp,NA
2020-09-26,US,United States,wk inc rsv hosp,hosp,NA
2020-09-26,49,Utah,wk inc rsv hosp,hosp,NA
2020-09-26,51,Virginia,wk inc rsv hosp,hosp,NA
2020-09-26,50,Vermont,wk inc rsv hosp,hosp,NA
2020-09-26,53,Washington,wk inc rsv hosp,hosp,NA
2020-09-26,55,Wisconsin,wk inc rsv hosp,hosp,NA
2020-09-26,54,West Virginia,wk inc rsv hosp,hosp,NA
2020-09-26,56,Wyoming,wk inc rsv hosp,hosp,NA
2020-10-03,02,Alaska,wk inc rsv hosp,hosp,NA
2020-10-03,01,Alabama,wk inc rsv hosp,hosp,NA
2020-10-03,05,Arkansas,wk inc rsv hosp,hosp,NA
2020-10-03,04,Arizona,wk inc rsv hosp,hosp,NA
